Wskaznik;Jednostka;Rok;Kwartal;Wartosc
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;1;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;2;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;3;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;4;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;1;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;2;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;3;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;4;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;1;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;2;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;3;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;4;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;1;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;2;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;3;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;4;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;1;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;2;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;3;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;4;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;1;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;2;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;3;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;4;.
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;1;105,1
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;2;110,1
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;3;115,1
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;4;118,4
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;1;148,8
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;2;129,7
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;3;120,5
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;4;116,5
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;1;118,8
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;2;117,2
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;3;113,4
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;4;110,9
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;1;98,7
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;2;101,4
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;3;104,7
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;4;103,7
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;1;84,8
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;2;93,9
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;3;98,5
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;4;103,5
