Kod;Nazwa;NUTS 1
0;POLSKA;POLSKA
200000;Dolnoœl¹skie;REGION PO£UDNIOWO-ZACHODNI
400000;Kujawsko-pomorskie;REGION PÓ£NOCNY
600000;Lubelskie;REGION WSCHODNI
800000;Lubuskie;REGION PÓ£NOCNO-ZACHODNI
1000000;£ódzkie;REGION CENTRALNY
1200000;Ma³opolskie;REGION PO£UDNIOWY
1400000;Mazowieckie;REGION CENTRALNY
1600000;Opolskie;REGION PO£UDNIOWO-ZACHODNI
1800000;Podkarpackie;REGION WSCHODNI
2000000;Podlaskie;REGION WSCHODNI
2200000;Pomorskie;REGION PÓ£NOCNY
2400000;Œl¹skie;REGION PO£UDNIOWY
2600000;Œwiêtokrzyskie;REGION WSCHODNI
2800000;Warmiñsko-mazurskie;REGION PÓ£NOCNY
3000000;Wielkopolskie;REGION PÓ£NOCNO-ZACHODNI
3200000;Zachodniopomorskie;REGION PÓ£NOCNO-ZACHODNI
