Kod;Nazwa;NUTS 1
0;POLSKA;POLSKA
200000;Dolnoœl¹skie;Makroregion po³udniowo-zachodni
400000;Kujawsko-pomorskie;Makroregion pó³nocny
600000;Lubelskie;Makroregion wschodni
800000;Lubuskie;Makroregion pó³nocno-zachodni
1000000;£ódzkie;Makroregion centralny
1200000;Ma³opolskie;Makroregion po³udniowy
1400000;Mazowieckie;Makroregion województwo mazowieckie
1600000;Opolskie;Makroregion po³udniowo-zachodni
1800000;Podkarpackie;Makroregion wschodni
2000000;Podlaskie;Makroregion wschodni
2200000;Pomorskie;Makroregion pó³nocny
2400000;Œl¹skie;Makroregion po³udniowy
2600000;Œwiêtokrzyskie;Makroregion centralny
2800000;Warmiñsko-mazurskie;Makroregion pó³nocny
3000000;Wielkopolskie;Makroregion pó³nocno-zachodni
3200000;Zachodniopomorskie;Makroregion pó³nocno-zachodni
