Sektor;Jednostka;Rok;Kwartal;Wartosc
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2000;1;1868,65
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2000;2;1869,78
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2000;3;1905,76
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2000;4;2051,74
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2001;1;2043,55
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2001;2;2006,92
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2001;3;2047,29
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2001;4;2152,99
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2002;1;2155,54
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2002;2;2061,95
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2002;3;2095,81
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2002;4;2225,41
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2003;1;2228,68
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2003;2;2141,01
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2003;3;2160,02
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2003;4;2276,84
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2004;1;2332,17
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2004;2;2230,53
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2004;3;2269,93
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2004;4;2405,46
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2005;1;2415,45
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2005;2;2318,53
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2005;3;2347,24
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2005;4;2528,62
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2006;1;2530,18
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2006;2;2427,27
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2006;3;2464,66
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2006;4;2662,51
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2007;1;2709,14
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2007;2;2644,34
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2007;3;2703,41
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2007;4;2899,83
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2008;1;2983,98
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2008;2;2951,36
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2008;3;2968,55
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2008;4;3096,55
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2009;1;3185,61
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2009;2;3081,48
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2009;3;3113,86
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2009;4;3243,60
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2010;1;3316,38
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2010;2;3197,85
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2010;3;3203,08
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2010;4;3438,21
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2011;1;3466,33
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2011;2;3366,11
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2011;3;3416,00
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2011;4;3586,75
