;Tabela 4. Średnie oprocentowanie nowych umów w PLN bez umów renegocjowanych;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Sektor;Kategoria;nr;fakt;gru.14;sty.15;lut.15;mar.15;kwi.15;maj.15;cze.15;lip.15;sie.15;wrz.15;paź.15;lis.15;gru.15;sty.16;lut.16;mar.16;kwi.16;maj.16;cze.16;lip.16;sie.16;wrz.16;paź.16;lis.16;gru.16;sty.17;lut.17;mar.17;kwi.17;maj.17;cze.17;lip.17;sie.17;wrz.17;paź.17;lis.17;gru.17;sty.18;lut.18;mar.18;kwi.18;maj.18;cze.18;lip.18;sie.18;wrz.18;paź.18;lis.18;gru.18;sty.19;lut.19;mar.19;kwi.19;maj.19;cze.19;lip.19;sie.19;wrz.19;paź.19;lis.19;gru.19;sty.20;lut.20;mar.20;kwi.20;maj.20;cze.20;lip.20;sie.20;wrz.20;paź.20;lis.20;gru.20;sty.21;lut.21;mar.21;kwi.21;maj.21;cze.21;lip.21;sie.21;wrz.21;paź.21;lis.21;gru.21;sty.22;lut.22;mar.22;kwi.22;maj.22;cze.22;lip.22;sie.22;wrz.22;paź.22;lis.22;gru.22;sty.23;lut.23;mar.23;kwi.23;maj.23;cze.23;lip.23;sie.23;wrz.23;paź.23;lis.23;gru.23;sty.24;lut.24;mar.24;kwi.24;maj.24;cze.24;lip.24;sie.24;wrz.24;paź.24;lis.24;gru.24;sty.25;lut.25;mar.25;kwi.25;maj.25;cze.25;lip.25;sie.25;wrz.25;paź.25;lis.25;gru.25;sty.26;lut.26;mar.26
;Kredyty i inne należności w PLN;Gospodarstwa domowe i instytucje niekomercyjne działające na rzecz gospodarstw domowych;"na cele konsumpcyjne
(bez kredytów o charakterze bieżącym)";1;"M_7;AC:A,BCS:2250,BI:A2B,BRS:S1,CT:PLN,DTM:R,F:M,IBC:NN,MO:A,RA:PL";9,2%;9,5%;9,5%;8,5%;8,4%;8,3%;8,3%;8,4%;8,1%;8,0%;8,1%;8,0%;7,8%;8,0%;8,0%;8,0%;8,1%;7,9%;7,9%;7,7%;7,7%;7,6%;7,6%;7,6%;7,3%;7,6%;7,6%;7,6%;7,5%;7,7%;7,7%;7,7%;7,8%;7,6%;7,7%;7,5%;7,0%;7,7%;7,7%;7,7%;7,9%;7,9%;7,9%;7,9%;7,8%;7,9%;7,8%;7,6%;7,6%;8,0%;8,1%;8,1%;8,0%;8,0%;8,1%;8,1%;7,9%;7,9%;7,9%;7,8%;7,6%;8,2%;8,3%;7,9%;6,8%;6,5%;6,3%;6,4%;6,2%;6,4%;6,4%;6,1%;6,2%;6,5%;6,6%;6,3%;6,6%;6,6%;6,6%;6,6%;6,3%;6,5%;6,8%;6,8%;7,4%;8,7%;8,8%;9,1%;10,0%;10,1%;10,8%;11,2%;11,0%;11,5%;11,6%;10,9%;11,7%;12,0%;11,8%;11,7%;11,9%;12,1%;12,2%;12,1%;11,7%;11,9%;11,9%;11,0%;11,3%;11,7%;11,8%;11,5%;11,9%;12,1%;12,1%;13,1%;12,5%;12,5%;12,3%;11,7%;11,5%;12,2%;12,1%;12,1%;12,0%;11,9%;11,9%;11,6%;11,4%;11,4%;11,3%;10,4%;10,0%;10,8%;10,6%;10,3%
;;;na nieruchomości mieszkaniowe;2;"M_7;AC:A,BCS:2250,BI:A2C,BRS:S1,CT:PLN,DTM:R,F:M,IBC:NN,MO:A,RA:PL";4,7%;4,8%;4,7%;4,4%;4,3%;4,3%;4,4%;4,4%;4,5%;4,5%;4,5%;4,5%;4,5%;4,5%;4,5%;4,5%;4,6%;4,5%;4,5%;4,5%;4,5%;4,5%;4,5%;4,5%;4,5%;4,5%;4,5%;4,4%;4,4%;4,5%;4,4%;4,4%;4,4%;4,5%;4,4%;4,4%;4,4%;4,4%;4,4%;4,4%;4,4%;4,3%;4,3%;4,3%;4,3%;4,4%;4,4%;4,4%;4,4%;4,4%;4,4%;4,3%;4,3%;4,3%;4,3%;4,3%;4,3%;4,4%;4,4%;4,4%;4,4%;4,4%;4,4%;4,3%;4,0%;3,7%;3,3%;3,3%;3,1%;3,1%;3,0%;3,0%;2,9%;2,9%;2,9%;2,9%;2,9%;2,9%;2,9%;2,9%;2,9%;3,0%;3,1%;3,7%;4,7%;5,2%;5,7%;6,4%;7,0%;7,5%;8,2%;8,8%;9,3%;9,1%;9,1%;9,4%;9,4%;9,0%;8,8%;8,7%;8,7%;8,7%;8,6%;8,5%;8,2%;8,0%;7,8%;7,7%;7,7%;7,7%;7,6%;7,6%;7,7%;7,9%;8,0%;7,9%;7,8%;7,6%;7,4%;7,4%;7,5%;7,4%;7,5%;7,6%;7,4%;7,1%;6,8%;6,8%;6,7%;6,6%;6,5%;6,4%;6,3%;6,1%;6,0%;5,9%
;;;pozostałe kredyty i inne należności;3;"M_7;AC:A,BCS:2250,BI:A2D,BRS:S1,CT:PLN,DTM:R,F:M,IBC:NN,MO:A,RA:PL";6,0%;6,1%;6,3%;5,7%;5,7%;5,6%;5,5%;5,4%;5,3%;5,4%;5,3%;5,4%;5,1%;5,4%;5,7%;5,6%;5,2%;5,6%;5,4%;4,9%;5,0%;5,2%;5,3%;5,4%;5,4%;5,5%;5,8%;5,8%;5,5%;5,8%;5,1%;5,5%;5,7%;6,1%;5,3%;5,5%;5,2%;5,5%;5,8%;5,9%;5,6%;5,9%;5,5%;6,1%;5,6%;5,5%;5,6%;5,7%;5,2%;6,1%;5,9%;5,9%;5,9%;5,9%;5,8%;5,9%;5,6%;6,0%;5,8%;5,8%;5,7%;6,0%;6,3%;5,4%;5,0%;5,0%;4,6%;4,4%;4,2%;4,4%;4,6%;4,6%;4,2%;4,5%;4,2%;4,9%;4,5%;4,1%;4,4%;4,1%;4,8%;4,3%;4,2%;5,3%;6,1%;7,1%;7,8%;8,0%;9,1%;9,6%;10,2%;10,5%;10,6%;10,8%;11,2%;11,5%;11,3%;11,0%;11,3%;11,0%;11,1%;11,1%;10,9%;10,7%;10,2%;10,0%;9,6%;9,9%;10,0%;10,1%;10,3%;10,0%;9,8%;9,7%;9,4%;9,8%;9,3%;9,9%;9,8%;9,7%;9,6%;9,8%;10,2%;9,7%;9,7%;9,2%;9,1%;9,0%;8,9%;8,6%;8,2%;7,6%;7,7%;8,3%;8,5%;8,0%
;;Przedsiębiorstwa niefinansowe ;ogółem;4;"M_7;AC:A,BCS:2240,BI:A2A,BRS:S1,CT:PLN,DTM:R,F:M,IBC:NN,MO:A,RA:PL";3,4%;3,7%;3,7%;3,3%;3,5%;3,4%;3,6%;3,4%;3,3%;3,6%;3,5%;3,5%;3,5%;3,3%;3,3%;3,3%;3,5%;3,4%;3,5%;3,7%;3,5%;3,4%;3,7%;3,5%;3,6%;3,6%;3,7%;3,8%;3,8%;3,5%;3,7%;3,6%;3,7%;3,9%;3,7%;3,6%;3,6%;3,5%;3,6%;3,5%;3,5%;3,5%;3,4%;3,6%;3,6%;3,4%;3,6%;3,6%;3,5%;3,6%;3,6%;3,7%;3,6%;3,6%;3,4%;3,7%;3,6%;3,5%;3,5%;3,5%;3,6%;3,6%;3,4%;3,4%;2,6%;2,5%;2,4%;2,2%;2,0%;2,2%;2,2%;2,1%;2,4%;1,9%;2,0%;2,0%;2,0%;2,2%;2,3%;2,1%;2,1%;2,2%;2,4%;3,1%;3,9%;4,2%;4,7%;5,8%;6,6%;7,6%;8,4%;8,7%;8,6%;8,9%;8,8%;8,9%;8,7%;9,2%;8,6%;8,7%;8,6%;9,2%;8,9%;8,8%;8,6%;8,1%;7,6%;7,6%;7,7%;7,9%;7,7%;7,7%;7,7%;7,7%;7,6%;7,7%;7,6%;7,6%;7,7%;7,6%;7,7%;7,6%;7,6%;7,6%;7,2%;7,3%;7,1%;6,9%;7,0%;6,6%;6,5%;6,0%;5,8%;5,6%;5,5%;5,7%
;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Tabela 4b. Wartości nowych umów w PLN bez umów renegocjowanych,
                  oszacowane dla całego systemu bankowego, w mln zł";;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Sektor;Kategoria;nr;okres;gru.14;sty.15;lut.15;mar.15;kwi.15;maj.15;cze.15;lip.15;sie.15;wrz.15;paź.15;lis.15;gru.15;sty.16;lut.16;mar.16;kwi.16;maj.16;cze.16;lip.16;sie.16;wrz.16;paź.16;lis.16;gru.16;sty.17;lut.17;mar.17;kwi.17;maj.17;cze.17;lip.17;sie.17;wrz.17;paź.17;lis.17;gru.17;sty.18;lut.18;mar.18;kwi.18;maj.18;cze.18;lip.18;sie.18;wrz.18;paź.18;lis.18;gru.18;sty.19;lut.19;mar.19;kwi.19;maj.19;cze.19;lip.19;sie.19;wrz.19;paź.19;lis.19;gru.19;sty.20;lut.20;mar.20;kwi.20;maj.20;cze.20;lip.20;sie.20;wrz.20;paź.20;lis.20;gru.20;sty.21;lut.21;mar.21;kwi.21;maj.21;cze.21;lip.21;sie.21;wrz.21;paź.21;lis.21;gru.21;sty.22;lut.22;mar.22;kwi.22;maj.22;cze.22;lip.22;sie.22;wrz.22;paź.22;lis.22;gru.22;sty.23;lut.23;mar.23;kwi.23;maj.23;cze.23;lip.23;sie.23;wrz.23;paź.23;lis.23;gru.23;sty.24;lut.24;mar.24;kwi.24;maj.24;cze.24;lip.24;sie.24;wrz.24;paź.24;lis.24;gru.24;sty.25;lut.25;mar.25;kwi.25;maj.25;cze.25;lip.25;sie.25;wrz.25;paź.25;lis.25;gru.25;sty.26;lut.26;mar.26
